experiment,arm,replicas,rate,repeat,metric,value
throughput,dispatcher,2,,2,warm_eps,65259.195
throughput,dispatcher,2,,3,warm_eps,64935.14
throughput,dispatcher,2,,1,warm_eps,65825.26
throughput,dispatcher,3,,2,warm_eps,77718.794
throughput,dispatcher,3,,3,warm_eps,79103.631
throughput,dispatcher,3,,1,warm_eps,78396.038
throughput,dispatcher,1,,2,warm_eps,39709.736
throughput,dispatcher,1,,3,warm_eps,40424.459
throughput,dispatcher,1,,1,warm_eps,40096.992
throughput,edge,2,,2,warm_eps,102541.069
throughput,edge,2,,3,warm_eps,103227.765
throughput,edge,2,,1,warm_eps,103061.542
throughput,edge,3,,2,warm_eps,122973.316
throughput,edge,3,,3,warm_eps,119668.91
throughput,edge,3,,1,warm_eps,118772.906
throughput,edge,1,,2,warm_eps,60023.012
throughput,edge,1,,3,warm_eps,59904.605
throughput,edge,1,,1,warm_eps,60719.927
latency,dispatcher,1,35000,2,e2e_p50,1.30391
latency,dispatcher,1,35000,2,e2e_p99,22.20106
latency,dispatcher,1,35000,2,e2e_p999,33.80394
latency,dispatcher,1,35000,3,e2e_p50,1.38998
latency,dispatcher,1,35000,3,e2e_p99,41.60404
latency,dispatcher,1,35000,3,e2e_p999,47.122
latency,dispatcher,1,35000,1,e2e_p50,1.38116
latency,dispatcher,1,35000,1,e2e_p99,23.47398
latency,dispatcher,1,35000,1,e2e_p999,29.67405
latency,dispatcher,1,20000,2,e2e_p50,0.71192
latency,dispatcher,1,20000,2,e2e_p99,1.18995
latency,dispatcher,1,20000,2,e2e_p999,17.37905
latency,dispatcher,1,20000,3,e2e_p50,0.71883
latency,dispatcher,1,20000,3,e2e_p99,1.21379
latency,dispatcher,1,20000,3,e2e_p999,14.82701
latency,dispatcher,1,20000,1,e2e_p50,0.72193
latency,dispatcher,1,20000,1,e2e_p99,1.23477
latency,dispatcher,1,20000,1,e2e_p999,3.22318
latency,dispatcher,1,30000,2,e2e_p50,0.98991
latency,dispatcher,1,30000,2,e2e_p99,1.66392
latency,dispatcher,1,30000,2,e2e_p999,3.27396
latency,dispatcher,1,30000,3,e2e_p50,1.01304
latency,dispatcher,1,30000,3,e2e_p99,2.1081
latency,dispatcher,1,30000,3,e2e_p999,26.67522
latency,dispatcher,1,30000,1,e2e_p50,0.97895
latency,dispatcher,1,30000,1,e2e_p99,1.69086
latency,dispatcher,1,30000,1,e2e_p999,33.29515
latency,dispatcher,1,10000,2,e2e_p50,0.52786
latency,dispatcher,1,10000,2,e2e_p99,0.90599
latency,dispatcher,1,10000,2,e2e_p999,1.06907
latency,dispatcher,1,10000,3,e2e_p50,0.525
latency,dispatcher,1,10000,3,e2e_p99,0.90098
latency,dispatcher,1,10000,3,e2e_p999,1.13678
latency,dispatcher,1,10000,1,e2e_p50,0.525
latency,dispatcher,1,10000,1,e2e_p99,0.92793
latency,dispatcher,1,10000,1,e2e_p999,20.40887
latency,edge,1,35000,2,e2e_p50,0.51713
latency,edge,1,35000,2,e2e_p99,0.97704
latency,edge,1,35000,2,e2e_p999,13.87
latency,edge,1,35000,3,e2e_p50,0.52595
latency,edge,1,35000,3,e2e_p99,0.97895
latency,edge,1,35000,3,e2e_p999,1.17898
latency,edge,1,35000,1,e2e_p50,0.52094
latency,edge,1,35000,1,e2e_p99,0.96893
latency,edge,1,35000,1,e2e_p999,1.14608
latency,edge,1,20000,2,e2e_p50,0.38099
latency,edge,1,20000,2,e2e_p99,0.65517
latency,edge,1,20000,2,e2e_p999,0.76413
latency,edge,1,20000,3,e2e_p50,0.38195
latency,edge,1,20000,3,e2e_p99,0.66495
latency,edge,1,20000,3,e2e_p999,0.77915
latency,edge,1,20000,1,e2e_p50,0.38385
latency,edge,1,20000,1,e2e_p99,0.65303
latency,edge,1,20000,1,e2e_p999,0.75412
latency,edge,1,30000,2,e2e_p50,0.494
latency,edge,1,30000,2,e2e_p99,0.87214
latency,edge,1,30000,2,e2e_p999,4.77004
latency,edge,1,30000,3,e2e_p50,0.48614
latency,edge,1,30000,3,e2e_p99,0.85807
latency,edge,1,30000,3,e2e_p999,1.02401
latency,edge,1,30000,1,e2e_p50,0.48494
latency,edge,1,30000,1,e2e_p99,0.86093
latency,edge,1,30000,1,e2e_p999,1.00803
latency,edge,1,10000,2,e2e_p50,0.278
latency,edge,1,10000,2,e2e_p99,0.46706
latency,edge,1,10000,2,e2e_p999,2.81
latency,edge,1,10000,3,e2e_p50,0.278
latency,edge,1,10000,3,e2e_p99,0.45395
latency,edge,1,10000,3,e2e_p999,0.57888
latency,edge,1,10000,1,e2e_p50,0.2799
latency,edge,1,10000,1,e2e_p99,0.45586
latency,edge,1,10000,1,e2e_p999,0.54884
